Player,Team,Position,Games,Bye,Yahoo,Sleeper,RTSports,JJ Tier,JJ Rank,Draftsharks,SOS,InjuryRisk,FloorProj,ConsensusProj,DSProj,CeilingProj,3D Value
Ja'Marr Chase,CIN,WR,17,10,1,1,1,1,1,3,0.40%,0.75,238,271,287,330,99
Bijan Robinson,ATL,RB,17,5,2,3,2,1,2,2,5.60%,0.42,254,283,299,340,99
Jahmyr Gibbs,DET,RB,17,8,4,4,3,1,3,4,-6.60%,0.63,231,271,275,341,88
Saquon Barkley,PHI,RB,17,9,3,2,4,1,4,1,-2.80%,0.58,247,284,301,346,100
CeeDee Lamb,DAL,WR,17,10,6,6,5,1,5,6,-3.20%,0.5,225,243,271,311,86
Justin Jefferson,MIN,WR,17,6,5,5,6,1,6,7,-0.60%,0.67,226,251,262,320,86
Christian McCaffrey,SF,RB,17,14,8,10,7,1,7,5,4.40%,0.64,202,257,288,337,87
De'Von Achane,MIA,RB,17,12,15,14,11,2,8,15,2.80%,0.83,204,243,259,287,69
Puka Nacua,LAR,WR,17,8,13,12,12,3,9,9,0.40%,0.68,208,228,260,310,79
Nico Collins,HOU,WR,17,6,9,13,14,3,10,12,0.30%,0.82,208,233,254,300,76
Malik Nabers,NYG,WR,17,14,12,11,8,3,11,13,-2.70%,0.29,207,233,249,309,76
Amon-Ra St. Brown,DET,WR,17,8,10,8,10,3,12,17,1.00%,0.4,209,220,225,290,64
Brian Thomas Jr.,JAC,WR,17,8,14,16,15,3,13,14,-1.20%,0.3,206,221,249,301,74
Drake London,ATL,WR,17,5,18,17,19,3,14,18,1.40%,0.87,206,217,234,274,64
Derrick Henry,BAL,RB,17,7,7,7,13,3,15,8,-4.30%,0.29,231,261,275,322,84
Ashton Jeanty,LVR,RB,17,8,11,9,9,3,16,10,-1.80%,0,226,247,262,331,79
A.J. Brown,PHI,WR,17,9,22,18,25,3,17,16,1.10%,0.71,208,218,236,285,67
Brock Bowers,LVR,TE,17,8,21,19,20,4,18,25,-6.50%,0.29,176,195,217,237,55
Chase Brown,CIN,RB,17,10,25,27,17,5,19,20,-0.70%,0.24,199,217,237,299,60
Bucky Irving,TB,RB,17,9,19,22,18,5,20,23,2.10%,0.29,195,234,241,270,58
Ladd McConkey,LAC,WR,17,12,24,24,30,5,21,34,-0.80%,0.55,181,205,206,265,50
Jonathan Taylor,IND,RB,17,11,17,20,22,6,22,11,0.80%,0.65,226,245,254,335,77
Josh Jacobs,GB,RB,17,5,16,15,16,6,23,19,-0.40%,0.8,207,242,241,282,62
Trey McBride,ARI,TE,17,8,27,26,26,6,24,35,4.90%,0.47,170,190,207,222,50
Josh Allen,BUF,QB,17,7,23,21,23,7,25,30,-0.10%,0.12,337,366,375,420,53
Jaxon Smith-Njigba,SEA,WR,17,8,32,29,35,7,26,47,1.50%,0.4,177,186,194,231,38
Omarion Hampton,LAC,RB,17,12,37,36,31,7,27,26,-3.40%,0,177,197,227,311,55
Tee Higgins,CIN,WR,17,10,29,31,36,7,28,22,0.40%,0.89,190,211,232,264,60
Lamar Jackson,BAL,QB,17,7,20,23,21,7,29,24,-3.50%,0.43,340,366,382,416,56
